decision_ts,residual
2021-02-01T00:00:00Z,0.0
2021-03-01T00:00:00Z,0.0
2021-03-29T00:00:00Z,-2.0
2021-05-03T00:00:00Z,0.0
2021-06-01T00:00:00Z,0.0
2021-06-28T00:00:00Z,0.0
2021-08-02T00:00:00Z,-2.0
2021-08-30T00:00:00Z,0.0
2021-09-27T00:00:00Z,-2.0
2021-11-01T00:00:00Z,-2.0
2021-11-29T00:00:00Z,-2.0
2022-01-03T00:00:00Z,0.0
2022-01-31T00:00:00Z,0.0
2022-02-28T00:00:00Z,0.0
2022-03-28T00:00:00Z,-2.0
2022-05-02T00:00:00Z,0.0
2022-05-31T00:00:00Z,0.0
2022-06-27T00:00:00Z,-2.0
2022-08-01T00:00:00Z,-2.0
2022-08-29T00:00:00Z,0.0
2022-10-03T00:00:00Z,2.0
2022-10-31T00:00:00Z,2.0
2022-11-28T00:00:00Z,0.0
2023-01-03T00:00:00Z,-2.0
2023-01-30T00:00:00Z,-2.0
2023-02-27T00:00:00Z,0.0
2023-04-03T00:00:00Z,0.0
2023-05-01T00:00:00Z,-2.0
2023-05-30T00:00:00Z,0.0
2023-07-03T00:00:00Z,0.0
2023-07-31T00:00:00Z,-2.0
2023-08-28T00:00:00Z,2.0
2023-10-02T00:00:00Z,-2.0
2023-10-30T00:00:00Z,0.0
2023-11-27T00:00:00Z,0.0
2024-01-02T00:00:00Z,0.0
2024-01-29T00:00:00Z,-2.0
2024-02-26T00:00:00Z,0.0
2024-04-01T00:00:00Z,0.0
2024-04-29T00:00:00Z,-2.0
2024-06-03T00:00:00Z,0.0
2024-07-01T00:00:00Z,0.0
2024-07-29T00:00:00Z,0.0
2024-09-03T00:00:00Z,-2.0
2024-09-30T00:00:00Z,2.0
2024-10-28T00:00:00Z,0.0
2024-12-02T00:00:00Z,0.0
2024-12-30T00:00:00Z,0.0
2025-02-03T00:00:00Z,-2.0
2025-03-03T00:00:00Z,-2.0
2025-03-31T00:00:00Z,-2.0
2025-04-28T00:00:00Z,-2.0
2025-06-02T00:00:00Z,0.0
2025-06-30T00:00:00Z,2.0
2025-07-28T00:00:00Z,0.0
2025-09-02T00:00:00Z,-2.0
2025-09-29T00:00:00Z,-2.0
2025-11-03T00:00:00Z,-2.0
2025-12-01T00:00:00Z,0.0
2025-12-29T00:00:00Z,-2.0
2026-02-02T00:00:00Z,0.0
2026-03-02T00:00:00Z,0.0
2026-03-30T00:00:00Z,0.0
