decision_ts,residual
2021-04-05T00:00:00Z,0.0
2021-04-29T00:00:00Z,2.0
2021-06-02T00:00:00Z,0.0
2021-07-02T00:00:00Z,-2.0
2021-07-19T00:00:00Z,0.0
2021-09-02T00:00:00Z,-2.0
2021-10-05T00:00:00Z,0.0
2021-11-05T00:00:00Z,-2.0
2021-12-03T00:00:00Z,0.0
2022-01-05T00:00:00Z,0.0
2022-02-03T00:00:00Z,-2.0
2022-03-03T00:00:00Z,0.0
2022-04-01T00:00:00Z,-2.0
2022-05-06T00:00:00Z,-2.0
2022-06-03T00:00:00Z,0.0
2022-07-01T00:00:00Z,-2.0
2022-08-04T00:00:00Z,0.0
2022-09-06T00:00:00Z,-2.0
2022-10-06T00:00:00Z,2.0
2022-12-05T00:00:00Z,-2.0
2023-04-03T00:00:00Z,2.0
2023-06-05T00:00:00Z,-2.0
2023-07-07T00:00:00Z,0.0
2023-09-06T00:00:00Z,-2.0
2023-12-01T00:00:00Z,-2.0
2024-04-04T00:00:00Z,-2.0
2024-06-03T00:00:00Z,0.0
2024-09-06T00:00:00Z,-2.0
2024-12-06T00:00:00Z,0.0
2025-04-04T00:00:00Z,2.0
2025-06-02T00:00:00Z,0.0
2025-07-07T00:00:00Z,-2.0
2025-09-08T00:00:00Z,0.0
2025-11-03T00:00:00Z,0.0
2025-12-09T00:00:00Z,-2.0
2026-03-06T00:00:00Z,-2.0
