decision_ts,residual
2021-01-13T00:00:00Z,0.0
2021-02-10T00:00:00Z,0.0
2021-03-10T00:00:00Z,0.0
2021-04-14T00:00:00Z,0.0
2021-05-12T00:00:00Z,0.0
2021-06-09T00:00:00Z,2.0
2021-07-14T00:00:00Z,0.0
2021-08-11T00:00:00Z,0.0
2021-09-15T00:00:00Z,0.0
2021-10-13T00:00:00Z,2.0
2021-11-10T00:00:00Z,-2.0
2021-12-15T00:00:00Z,-2.0
2022-01-12T00:00:00Z,0.0
2022-02-09T00:00:00Z,0.0
2022-03-09T00:00:00Z,-2.0
2022-04-13T00:00:00Z,-2.0
2022-05-11T00:00:00Z,0.0
2022-06-15T00:00:00Z,0.0
2022-07-13T00:00:00Z,2.0
2022-08-10T00:00:00Z,0.0
2022-09-14T00:00:00Z,0.0
2022-10-12T00:00:00Z,0.0
2022-11-09T00:00:00Z,2.0
2022-12-14T00:00:00Z,0.0
2023-01-11T00:00:00Z,0.0
2023-02-15T00:00:00Z,0.0
2023-03-15T00:00:00Z,0.0
2023-04-12T00:00:00Z,-2.0
2023-05-10T00:00:00Z,-2.0
2023-06-14T00:00:00Z,2.0
2023-07-12T00:00:00Z,0.0
2023-08-09T00:00:00Z,0.0
2023-09-13T00:00:00Z,2.0
2023-10-11T00:00:00Z,2.0
2023-11-15T00:00:00Z,2.0
2023-12-13T00:00:00Z,0.0
2024-01-10T00:00:00Z,0.0
2024-02-14T00:00:00Z,0.0
2024-03-13T00:00:00Z,0.0
2024-04-10T00:00:00Z,-2.0
2024-05-15T00:00:00Z,2.0
2024-06-12T00:00:00Z,2.0
2024-07-10T00:00:00Z,0.0
2024-08-14T00:00:00Z,0.0
2024-09-11T00:00:00Z,2.0
2024-10-09T00:00:00Z,0.0
2024-11-13T00:00:00Z,2.0
2024-12-11T00:00:00Z,0.0
2025-01-15T00:00:00Z,-2.0
2025-02-12T00:00:00Z,0.0
2025-03-12T00:00:00Z,0.0
2025-04-09T00:00:00Z,-2.0
2025-05-14T00:00:00Z,0.0
2025-06-11T00:00:00Z,2.0
2025-07-09T00:00:00Z,0.0
2025-08-13T00:00:00Z,2.0
2025-09-10T00:00:00Z,-2.0
2025-10-15T00:00:00Z,0.0
2025-11-12T00:00:00Z,0.0
2025-12-10T00:00:00Z,-2.0
2026-01-14T00:00:00Z,-2.0
2026-02-11T00:00:00Z,-2.0
2026-03-11T00:00:00Z,0.0
2026-04-15T00:00:00Z,0.0
